iter	Logloss
0	0.631856809
1	0.5833411421
2	0.5413250336
3	0.5060547453
4	0.4787276971
5	0.4548697948
6	0.4352975523
7	0.4189665188
8	0.4061784171
9	0.3947378557
10	0.3852806981
11	0.3778496881
12	0.3711044926
13	0.3655569662
14	0.3605482351
15	0.3565405804
16	0.353127128
17	0.3494594864
18	0.3469459588
19	0.3447060757
20	0.3421926441
21	0.3406387578
22	0.3389472622
23	0.3373150364
24	0.3360545605
25	0.3348780436
26	0.3336677782
27	0.332798067
28	0.3320528294
29	0.3310903223
30	0.3304141345
31	0.3298334479
32	0.3290920892
33	0.3285071798
34	0.3281057037
35	0.3275286949
36	0.3271572786
37	0.3268305671
38	0.3263897789
39	0.326064507
40	0.3257206594
41	0.3253632871
42	0.3251172267
43	0.3247842001
44	0.3245663525
45	0.3242696192
46	0.3240837733
47	0.3238691269
48	0.3236858299
49	0.3235280015
50	0.3233377641
51	0.3231534065
52	0.3230031844
53	0.3228658512
54	0.3226588635
55	0.322476949
56	0.3223469231
57	0.3221810571
58	0.3220526648
59	0.3219317526
60	0.3217966724
61	0.3216866432
62	0.3215802832
63	0.3214612805
64	0.3213197046
65	0.3212117493
66	0.321114635
67	0.3210144793
68	0.3209099671
69	0.3208057622
70	0.3206950045
71	0.3205800994
72	0.3204651168
73	0.3203535618
74	0.3202528979
75	0.3201342331
76	0.3200499177
77	0.3199678691
78	0.3198663087
79	0.3197881294
80	0.3197073575
81	0.3196117452
82	0.3195141568
83	0.319454663
84	0.3193642977
85	0.3192943151
86	0.3192125067
87	0.3191325615
88	0.3190593103
89	0.3189687492
90	0.3188975408
91	0.3188216213
92	0.3187521468
93	0.3186724817
94	0.3185973105
95	0.3185364594
96	0.3184426794
97	0.3183674653
98	0.3182686621
99	0.3182157403
100	0.318166112
101	0.3180959801
102	0.3180251434
103	0.3179296451
104	0.3178503391
105	0.3177695989
106	0.3176993773
107	0.317641001
108	0.3175818237
109	0.3175186229
110	0.3174508877
111	0.3173834345
112	0.3173125333
113	0.3172626771
114	0.3171992177
115	0.3171396792
116	0.3170641757
117	0.3170027407
