iter	Passed	Remaining
0	21	21414
1	41	20637
2	60	20139
3	78	19640
4	100	19989
5	118	19656
6	140	19861
7	164	20422
8	188	20717
9	212	21074
10	234	21127
11	256	21124
12	277	21097
13	298	21028
14	321	21089
15	342	21040
16	364	21070
17	385	21044
18	414	21376
19	437	21445
20	460	21473
21	481	21422
22	499	21234
23	517	21044
24	536	20926
25	554	20762
26	571	20610
27	590	20514
28	607	20339
29	630	20374
30	645	20167
31	664	20091
32	685	20087
33	704	20002
34	718	19817
35	735	19687
36	752	19596
37	771	19538
38	791	19505
39	809	19437
40	827	19366
41	848	19346
42	868	19322
43	889	19326
44	907	19257
45	924	19177
46	943	19121
47	961	19066
48	979	19012
49	1001	19030
50	1019	18969
51	1038	18936
52	1057	18887
53	1075	18835
54	1097	18855
55	1119	18875
56	1141	18879
57	1163	18888
58	1187	18945
59	1209	18949
60	1229	18918
61	1247	18866
62	1265	18828
63	1285	18796
64	1302	18734
65	1322	18719
66	1342	18699
67	1361	18666
68	1382	18648
69	1403	18645
70	1434	18774
71	1451	18707
72	1471	18686
73	1496	18730
74	1519	18740
75	1547	18812
76	1571	18841
77	1594	18852
78	1618	18865
79	1643	18903
80	1669	18938
81	1695	18977
82	1726	19073
83	1746	19048
84	1772	19075
85	1793	19062
86	1817	19071
87	1847	19147
88	1872	19168
89	1897	19181
90	1919	19173
91	1943	19186
92	1971	19227
93	1995	19235
94	2019	19241
95	2041	19224
96	2065	19232
97	2092	19258
98	2121	19311
99	2143	19293
100	2178	19387
101	2201	19383
102	2224	19369
103	2247	19363
104	2272	19366
105	2298	19381
106	2321	19374
107	2342	19345
108	2367	19356
109	2393	19366
110	2426	19436
111	2474	19620
112	2516	19754
113	2541	19755
114	2570	19783
115	2590	19743
116	2615	19738
117	2638	19720
118	2659	19692
119	2687	19710
120	2714	19716
121	2737	19697
122	2759	19678
123	2785	19681
124	2808	19658
125	2834	19658
126	2856	19635
127	2880	19622
128	2903	19605
129	2928	19600
130	2947	19553
131	2969	19523
132	2994	19517
133	3020	19520
134	3049	19536
135	3071	19509
136	3093	19488
137	3123	19509
138	3146	19489
139	3177	19518
140	3201	19501
141	3226	19495
142	3249	19475
143	3271	19444
144	3294	19423
145	3318	19408
146	3341	19391
147	3364	19367
148	3386	19342
149	3411	19329
150	3438	19334
151	3466	19341
152	3490	19322
153	3515	19309
154	3540	19300
155	3563	19279
156	3587	19262
157	3611	19243
158	3637	19239
159	3661	19220
160	3683	19196
161	3707	19176
162	3731	19159
163	3756	19147
164	3779	19127
165	3803	19106
166	3829	19102
167	3853	19083
168	3878	19072
169	3902	19052
170	3927	19040
171	3951	19020
172	3978	19017
173	4002	19002
174	4028	18993
175	4055	18985
176	4078	18965
177	4102	18946
178	4125	18920
179	4153	18919
180	4191	18966
181	4214	18941
182	4237	18916
183	4263	18905
184	4286	18883
185	4310	18864
186	4334	18842
187	4355	18812
188	4379	18791
189	4405	18780
190	4428	18755
191	4452	18735
192	4482	18741
